pH,Soil EC (dS/m),Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Moisture (%),Temperature (°C),Crop
6.76,2.5,65.43,40.2,193.59,68.62,22.37,Carrot
6.63,2.37,72.64,35.81,247.62,61.57,22.98,Carrot
6.27,1.63,51.9,53.25,287.98,57.65,22.7,Carrot
6.35,1.63,77.86,35.01,292.99,75.91,19.25,Carrot
6.42,1.39,93.24,54.04,151.43,77.73,19.93,Carrot
6.37,1.63,89.08,54.72,192.5,72.05,23.76,Carrot
6.74,2.1,59.61,30.08,263.61,54.7,20.6,Carrot
6.07,1.69,53.59,30.62,188.9,73.9,17.06,Carrot
6.55,1.38,68.95,35.66,236.36,60.65,22.17,Carrot
6.44,1.8,84.32,53.68,212.09,76.27,22.94,Carrot
6.62,1.28,58.35,42.77,288.12,63.89,23.87,Carrot
6.06,1.23,83.06,58.89,244.95,68.06,21.78,Carrot
6.33,2.1,70.86,57.03,233.77,79.2,20.57,Carrot
6.48,1.3,94.64,39.99,235.9,80.0,18.04,Carrot
6.28,2.11,94.76,33.45,232.39,76.05,20.37,Carrot
6.22,1.9,52.75,49.11,150.58,75.16,23.63,Carrot
6.28,2.49,76.56,44.71,263.66,71.27,17.98,Carrot
6.05,1.9,57.89,32.68,228.9,77.1,20.24,Carrot
6.51,1.52,91.07,30.01,178.68,61.05,22.28,Carrot
6.45,1.83,58.7,37.14,274.8,55.02,20.45,Carrot
6.75,1.43,58.53,49.15,158.76,54.62,21.35,Carrot
6.76,1.24,92.14,50.43,237.6,62.9,17.7,Carrot
6.73,1.67,68.69,52.01,186.65,68.41,20.38,Carrot
6.32,1.19,60.65,52.12,208.55,51.75,17.45,Carrot
6.25,2.28,88.16,56.53,160.88,78.88,22.09,Carrot
6.01,2.5,53.88,34.57,171.09,67.58,19.73,Carrot
6.7,1.29,75.62,38.22,173.65,68.15,21.62,Carrot
6.33,1.55,53.67,57.02,212.15,69.41,17.5,Carrot
6.54,1.38,87.26,42.94,244.62,75.76,17.88,Carrot
